Year,Prescription
03-01-2004,333.6
04-01-2004,335.3
05-01-2004,336.8
06-01-2004,337.7
07-01-2004,338.4
08-01-2004,338.7
09-01-2004,339.7
10-01-2004,340.7
11-01-2004,340.5
12-01-2004,340.7
01-01-2005,342.6
02-01-2005,344.5
03-01-2005,344.5
04-01-2005,344.8
05-01-2005,346.8
06-01-2005,348.6
07-01-2005,349.9
08-01-2005,350.7
09-01-2005,351.8
10-01-2005,353.2
11-01-2005,355.1
12-01-2005,355.7
01-01-2006,357.6
02-01-2006,359.9
03-01-2006,361.5
04-01-2006,362.7
05-01-2006,364.2
06-01-2006,365.2
07-01-2006,366.1
08-01-2006,367.2
09-01-2006,368.4
10-01-2006,367.7
11-01-2006,364.5
12-01-2006,362.3
01-01-2007,367.072
02-01-2007,366.558
03-01-2007,365.078
04-01-2007,366.838
05-01-2007,366.952
06-01-2007,366.782
07-01-2007,369.390
08-01-2007,370.721
09-01-2007,370.972
10-01-2007,371.856
11-01-2007,373.280
12-01-2007,374.389
01-01-2008,377.828
02-01-2008,379.310
03-01-2008,380.407
04-01-2008,379.612
05-01-2008,377.144
06-01-2008,377.429
07-01-2008,376.813
08-01-2008,376.385
09-01-2008,377.094
10-01-2008,377.956
11-01-2008,379.491
12-01-2008,379.943
01-01-2009,383.280
02-01-2009,386.456
03-01-2009,386.859
04-01-2009,388.711
05-01-2009,390.221
06-01-2009,390.558
07-01-2009,390.563
08-01-2009,392.799
09-01-2009,394.707
10-01-2009,395.759
11-01-2009,396.216
12-01-2009,396.526
01-01-2010,400.498
02-01-2010,404.090
03-01-2010,405.763
04-01-2010,406.618
05-01-2010,407.110
06-01-2010,407.562
07-01-2010,407.058
08-01-2010,409.100
09-01-2010,410.289
10-01-2010,410.944
11-01-2010,412.069
12-01-2010,412.786
01-01-2011,416.266
02-01-2011,420.329
03-01-2011,422.168
04-01-2011,424.264
05-01-2011,425.189
06-01-2011,424.761
07-01-2011,425.604
08-01-2011,426.775
09-01-2011,427.585
10-01-2011,428.294
11-01-2011,428.718
12-01-2011,429.817
01-01-2012,433.577
02-01-2012,438.453
03-01-2012,439.761
04-01-2012,439.784
05-01-2012,439.140
06-01-2012,439.459
07-01-2012,442.115
08-01-2012,443.869
09-01-2012,443.528
10-01-2012,443.606
11-01-2012,440.591
12-01-2012,437.905
01-01-2013,440.579
02-01-2013,441.776
03-01-2013,442.912
04-01-2013,442.310
05-01-2013,438.721
06-01-2013,439.723
07-01-2013,441.489
08-01-2013,444.625
09-01-2013,445.156
10-01-2013,446.043
11-01-2013,446.032
12-01-2013,441.589
01-01-2014,446.766
02-01-2014,453.121
03-01-2014,452.120
04-01-2014,453.012
05-01-2014,454.359
06-01-2014,457.609
07-01-2014,459.832
08-01-2014,460.837
09-01-2014,461.870
10-01-2014,464.368
11-01-2014,466.447
12-01-2014,469.778
01-01-2015,471.754
02-01-2015,476.638
03-01-2015,478.076
04-01-2015,478.206
05-01-2015,478.566
06-01-2015,479.642
07-01-2015,480.210
08-01-2015,482.392
09-01-2015,481.260
10-01-2015,481.426
11-01-2015,482.478
12-01-2015,481.134
01-01-2016,485.796
02-01-2016,493.075
03-01-2016,495.191
04-01-2016,497.297
05-01-2016,493.293
06-01-2016,498.136
07-01-2016,502.833
08-01-2016,512.061
09-01-2016,514.781
10-01-2016,515.159
11-01-2016,511.311
12-01-2016,511.191
01-01-2017,515.468
02-01-2017,518.618
03-01-2017,518.470
04-01-2017,512.738
05-01-2017,512.582
06-01-2017,517.217
07-01-2017,524.056
08-01-2017,526.105
09-01-2017,522.018
10-01-2017,520.350
11-01-2017,522.411
12-01-2017,525.385
01-01-2018,527.767
02-01-2018,529.279
03-01-2018,528.167
04-01-2018,526.345
05-01-2018,531.692
06-01-2018,533.720
07-01-2018,528.865
08-01-2018,530.165
09-01-2018,528.124
10-01-2018,524.370
11-01-2018,525.494
12-01-2018,522.105
01-01-2019,525.103
02-01-2019,522.971
03-01-2019,526.097
04-01-2019,528.008
05-01-2019,526.439
06-01-2019,522.957
07-01-2019,524.829
08-01-2019,526.629
09-01-2019,522.518
10-01-2019,529.635
11-01-2019,528.285
12-01-2019,537.946
01-01-2020,538.154
02-01-2020,535.548
03-01-2020,533.885
04-01-2020,533.767
05-01-2020,533.325
06-01-2020,533.460
07-01-2020,533.551
08-01-2020,534.254
09-01-2020,529.966
10-01-2020,527.649
11-01-2020,526.167
12-01-2020,525.244
01-01-2021,525.434
02-01-2021,521.231
03-01-2021,521.375
