Year,Actual,Predicted
2021-06-01,0.009290662,0.0022214712
2021-07-01,0.0048105237,0.0016261633
2021-08-01,0.0020659105,0.0014844926
2021-09-01,0.002715971,0.0015289604
2021-10-01,0.008308117,0.0016202541
2021-11-01,0.0049134265,0.0016533844
2021-12-01,0.003072518,0.0016891344
2022-01-01,0.008414575,0.0017417347
2022-02-01,0.009133981,0.0018565527
2022-03-01,0.013351379,0.0020558464
2022-04-01,0.0055825305,0.002014696
2022-05-01,0.011023523,0.0022091668
